adnem	adnet+V+TV+Der/NomAct+N+Sg+Nom

rádjesuodjalus	rádje+N+Cmp/SgNom+Cmp#suodjalus+N+Sg+Nom

rájddogåvvå	rájddo+N+Cmp/SgNom+Cmp#gåvvå+N+Sg+Nom

rámmakonvensjåvnnå	rámma+N+Cmp/SgNom+Cmp#konvensjåvnnå+N+Sg+Nom

sallafágge	salla+N+Cmp/SgNom+Cmp#fágge+N+Sg+Nom

sarvaduollje	sarvva+N+Cmp/SgGen+Cmp#duollje+N+Sg+Nom

sassneavve	sassne+N+Cmp/SgNom+Cmp#avve+N+Sg+Nom

sekkatjoalle	siegge+A+Cmp/Attr+Cmp#tjoalle+N+Sg+Nom

siedjagoahte	siedja+N+Cmp/SgNom+Cmp#goahte+N+Sg+Nom
 
siehppatjalmme	siehppa+N+Cmp/SgNom+Cmp#tjalmme+N+Sg+Nom

sielggeoalle	sielgge+N+Cmp/SgNom+Cmp#oalle+N+Sg+Nom

sierradille	sierra+A+Cmp/Attr+Cmp#dille+N+Sg+Nom

sijddalasse	sijdda+N+Cmp/SgNom+Cmp#lasse+N+Sg+Nom

sirádimgirjje	sirádibme+N+Cmp/SgNom+Cmp#girjje+N+Sg+Nom

sisbåkså	sis+N+Cmp#båkså+N+Sg+Nom

sisdepartemænnta	sis+N+Cmp#departemænnta+N+Sg+Nom

sisrijkapolitihkka	sisrijkka+N+Cmp/SgGen+Cmp#politihkka+N+Sg+Nom

sisŋeldisbudsjæhtta	sisŋeldis+A+Cmp/Attr+Cmp#budsjæhtta+N+Sg+Nom

skoarremuoddá	skårrat+V+TV+Der/NomAg+N+Cmp/SgGen+Cmp#muoddá+N+Sg+Nom
skoarremuoddá	skårrat+V+TV+Der/NomAg+N+Cmp/SgNom+Cmp#muoddá+N+Sg+Nom

skåvllågirjjevuorkká	skåvllå+N+Cmp/SgNom+Cmp#girjjevuorkká+N+Sg+Nom

smávvamánná	smávve+A+Cmp/Attr+Cmp#mánná+N+Sg+Nom

stuorrafiehta	stuorak+A+Cmp/Attr+Cmp#fiehta+N+Sg+Nom

stáhtaarkijvva	stáhtta+N+Cmp/SgGen+Cmp#arkijvva+N+Sg+Nom

stáhtainstitusjåvnnå	stáhtta+N+Cmp/SgGen+Cmp#institusjåvnnå+N+Sg+Nom

stávvalrádje	stávval+A+Cmp/SgNom+Cmp#rádje+N+Sg+Nom

suohkanpolitihkka	suohkan+N+Cmp/SgNom+Cmp#politihkka+N+Sg+Nom

suohkanrádje	suohkan+N+Cmp/SgNom+Cmp#rádje+N+Sg+Nom

suonjartjalmme	suonjar+N+Cmp/SgNom+Cmp#tjalmme+N+Sg+Nom

suovvabåhttså	suovva+N+Cmp/SgNom+Cmp#båhttså+N+Sg+Nom

svijnnemuorjje	svijnne+N+Cmp/SgNom+Cmp#muorjje+N+Sg+Nom

sámemánná	sáme+N+Cmp#mánná+N+Sg+Nom

sámeradio	sáme+N+Cmp#radio+N+Sg+Nom

sáttojkássa	sáttoj+N+Cmp/SgNom+Cmp#kássa+N+Sg+Nom

sávtsanáhkke	sávttsa+N+Cmp/SgGen+Cmp#náhkke+N+Sg+Nom

såhkkånuohtte	såhkkå+N+Cmp/SgNom+Cmp#nuohtte+N+Sg+Nom

såhkåráksá	såhkkå+N+Cmp/SgGen+Cmp#ráksá+N+Sg+Nom

telefonkatalåvggå	telefåvnnå+N+Cmp#katalåvggå+N+Sg+Nom

telefonnummar	telefåvnnå+N+Cmp#nummar+N+Sg+Nom

tiebmágirjásj	tiebmá+N+Cmp/SgNom+Cmp#girjásj+N+Sg+Nom

tjadátjuohpos	tjahta+N+Cmp/SgGen+Cmp#tjuohpos+N+Sg+Nom

tjiektjambállo	tjiektjam+N+Cmp/SgNom+Cmp#bállo+N+Sg+Nom

tjuovggagilkor	tjuovgga+N+Cmp/SgNom+Cmp#gilkor+N+Sg+Nom

tjuovggasuonjar	tjuovgga+N+Cmp/SgNom+Cmp#suonjar+N+Sg+Nom

tjårmmåvájmos	tjårmmå+N+Cmp/SgNom+Cmp#vájmos+N+Sg+Nom

tsieggimbudsjæhtta	tsieggit+V+TV+Der/NomAct+N+Cmp/SgNom+Cmp#budsjæhtta+N+Sg+Nom

uhtsamálle	uhttse+A+Cmp/Attr+Cmp#málle+N+Sg+Nom
uhtsamálle	uhtsa+A+Cmp/Attr+Cmp#málle+N+Sg+Nom

uksatsagge	uksa+N+Cmp/SgNom+Cmp#tsagge+N+Sg+Nom

unnamánná	unne+A+Cmp/Attr+Cmp#mánná+N+Sg+Nom

vanntsamotåvrrå	vanntsa+N+Cmp/SgNom+Cmp#motåvrrå+N+Sg+Nom

varranáhkke	varra+N+Cmp/SgNom+Cmp#náhkke+N+Sg+Nom

visskáfiåvllå	visskat+A+Cmp/Attr+Cmp#fiåvllå+N+Sg+Nom

vuodjambasæŋŋa	vuodjam+N+Cmp/SgNom+Cmp#basæŋŋa+N+Sg+Nom

vuodogåvvå	vuodo+N+Cmp/SgNom+Cmp#gåvvå+N+Sg+Nom

vuolggembiejvve	vuolgget+V+IV+Der/NomAct+N+Cmp/SgNom+Cmp#biejvve+N+Sg+Nom

vuossamátta	vuossa+N+Cmp/SgNom+Cmp#mátta+N+Sg+Nom

vuosádusgåvvå	vuosádus+N+Cmp/SgNom+Cmp#gåvvå+N+Sg+Nom

vuovddefiåvllå	vuovdde+N+Cmp/SgNom+Cmp#fiåvllå+N+Sg+Nom

váhkkádákte	váhkká+N+Cmp/SgNom+Cmp#dákte+N+Sg+Nom

váktajuohko	vákta+N+Cmp/SgNom+Cmp#juohko+N+Sg+Nom

válldabiejvve	vállda+N+Cmp/SgNom+Cmp#biejvve+N+Sg+Nom

várjjodepartemænnta	várjjo+N+Cmp/SgNom+Cmp#departemænnta+N+Sg+Nom

várredåhpe	várre+N+Cmp/SgNom+Cmp#dåhpe+N+Sg+Nom

værjjogåvvå	værjjo+N+Cmp/SgNom+Cmp#gåvvå+N+Sg+Nom

áhpelihkká	áhpe+N+Cmp/SgNom+Cmp#lihkká+N+Sg+Nom

åbbåhadde	åbbå+A+Cmp/Attr+Cmp#hadde+N+Sg+Nom

åbbålasjgåvvå	åbbålasj+A+Cmp/Attr+Cmp#gåvvå+N+Sg+Nom

åbbålasjárvustallam	åbbålasj+A+Cmp/Attr+Cmp#árvustallam+N+Sg+Nom

åbbåráksá	åbbå+A+Cmp/Attr+Cmp#ráksá+N+Sg+Nom

ådåbáhko	ådås+A+Cmp/Attr+Cmp#báhko+N+Sg+Nom

ådåsgåvvå	ådås+A+Cmp/SgNom+Cmp#gåvvå+N+Sg+Nom

ådåssátta	ådås+A+Cmp/SgNom+Cmp#sátta+N+Sg+Nom

